"","method","variate","design","number","RMSE"
"1","exhaustive_test","AGB","clusterGapped",1,33.2615185567516
"2","exhaustive_test","AGB","clusterGapped",2,31.7826083691846
"3","exhaustive_test","AGB","clusterGapped",3,34.7147234999036
"4","exhaustive_test","AGB","clusterGapped",4,35.14418183991
"5","exhaustive_test","AGB","clusterGapped",5,35.701777143031
"6","exhaustive_test","AGB","clusterGapped",6,31.5811501144948
"7","exhaustive_test","AGB","clusterGapped",7,36.54720492865
"8","exhaustive_test","AGB","clusterGapped",8,34.8900472848458
"9","exhaustive_test","AGB","clusterGapped",9,36.853354248258
"10","exhaustive_test","AGB","clusterGapped",10,34.5873631787105
"11","exhaustive_test","AGB","clusterGapped",11,33.5848264287541
"12","exhaustive_test","AGB","clusterGapped",12,36.3912067800269
"13","exhaustive_test","AGB","clusterGapped",13,33.932566350297
"14","exhaustive_test","AGB","clusterGapped",14,34.2976953213033
"15","exhaustive_test","AGB","clusterGapped",15,33.5990417160046
"16","exhaustive_test","AGB","clusterGapped",16,37.1639770608625
"17","exhaustive_test","AGB","clusterGapped",17,33.1427167378373
"18","exhaustive_test","AGB","clusterGapped",18,32.6382189398036
"19","exhaustive_test","AGB","clusterGapped",19,33.6364165407753
"20","exhaustive_test","AGB","clusterGapped",20,32.9375743364923
"21","exhaustive_test","AGB","clusterGapped",21,33.8665823881522
"22","exhaustive_test","AGB","clusterGapped",22,33.7059701277375
"23","exhaustive_test","AGB","clusterGapped",23,35.1897017856996
"24","exhaustive_test","AGB","clusterGapped",24,32.2690471034317
"25","exhaustive_test","AGB","clusterGapped",25,34.1218550574072
"26","exhaustive_test","AGB","clusterGapped",26,33.4934919894491
"27","exhaustive_test","AGB","clusterGapped",27,36.2780624135482
"28","exhaustive_test","AGB","clusterGapped",28,35.8129757841667
"29","exhaustive_test","AGB","clusterGapped",29,36.4079753417313
"30","exhaustive_test","AGB","clusterGapped",30,33.7713582222583
"31","exhaustive_test","AGB","clusterGapped",31,32.9462643459471
"32","exhaustive_test","AGB","clusterGapped",32,31.7503772623634
"33","exhaustive_test","AGB","clusterGapped",33,33.5461877718048
"34","exhaustive_test","AGB","clusterGapped",34,33.617648813088
"35","exhaustive_test","AGB","clusterGapped",35,33.9817328876038
"36","exhaustive_test","AGB","clusterGapped",36,34.7396672750048
"37","exhaustive_test","AGB","clusterGapped",37,33.4749345693442
"38","exhaustive_test","AGB","clusterGapped",38,34.1630841966304
"39","exhaustive_test","AGB","clusterGapped",39,34.1519303218019
"40","exhaustive_test","AGB","clusterGapped",40,36.6589507664515
"41","exhaustive_test","AGB","clusterGapped",41,33.2250267821959
"42","exhaustive_test","AGB","clusterGapped",42,32.6928259817195
"43","exhaustive_test","AGB","clusterGapped",43,35.3542794673157
"44","exhaustive_test","AGB","clusterGapped",44,37.5065516835721
"45","exhaustive_test","AGB","clusterGapped",45,32.6964220603162
"46","exhaustive_test","AGB","clusterGapped",46,33.9687071375101
"47","exhaustive_test","AGB","clusterGapped",47,31.8364829984661
"48","exhaustive_test","AGB","clusterGapped",48,33.758334525027
"49","exhaustive_test","AGB","clusterGapped",49,31.4213454652511
"50","exhaustive_test","AGB","clusterGapped",50,32.3403913824076
"51","exhaustive_test","AGB","clusterMedium",1,32.3516604552741
"52","exhaustive_test","AGB","clusterMedium",2,32.4222600047487
"53","exhaustive_test","AGB","clusterMedium",3,31.2410391596441
"54","exhaustive_test","AGB","clusterMedium",4,32.4469694389716
"55","exhaustive_test","AGB","clusterMedium",5,30.8696639661486
"56","exhaustive_test","AGB","clusterMedium",6,30.9829048009142
"57","exhaustive_test","AGB","clusterMedium",7,32.7220872404741
"58","exhaustive_test","AGB","clusterMedium",8,31.5350111988605
"59","exhaustive_test","AGB","clusterMedium",9,31.716136057597
"60","exhaustive_test","AGB","clusterMedium",10,31.0998712912563
"61","exhaustive_test","AGB","clusterMedium",11,32.1631928467323
"62","exhaustive_test","AGB","clusterMedium",12,31.6713462429684
"63","exhaustive_test","AGB","clusterMedium",13,31.8169950841946
"64","exhaustive_test","AGB","clusterMedium",14,31.8006559565772
"65","exhaustive_test","AGB","clusterMedium",15,31.9807242363979
"66","exhaustive_test","AGB","clusterMedium",16,32.341295776253
"67","exhaustive_test","AGB","clusterMedium",17,32.9701625732688
"68","exhaustive_test","AGB","clusterMedium",18,33.0296669679027
"69","exhaustive_test","AGB","clusterMedium",19,31.9244053150576
"70","exhaustive_test","AGB","clusterMedium",20,31.6887181700106
"71","exhaustive_test","AGB","clusterMedium",21,32.0691049163636
"72","exhaustive_test","AGB","clusterMedium",22,32.6583791599877
"73","exhaustive_test","AGB","clusterMedium",23,32.6342309835683
"74","exhaustive_test","AGB","clusterMedium",24,32.4364487699129
"75","exhaustive_test","AGB","clusterMedium",25,31.724642659122
"76","exhaustive_test","AGB","clusterMedium",26,31.1249844641707
"77","exhaustive_test","AGB","clusterMedium",27,32.156054074338
"78","exhaustive_test","AGB","clusterMedium",28,31.5345949104654
"79","exhaustive_test","AGB","clusterMedium",29,31.4430379833926
"80","exhaustive_test","AGB","clusterMedium",30,32.3432701650543
"81","exhaustive_test","AGB","clusterMedium",31,33.5468208514823
"82","exhaustive_test","AGB","clusterMedium",32,31.366088283635
"83","exhaustive_test","AGB","clusterMedium",33,31.3876902757906
"84","exhaustive_test","AGB","clusterMedium",34,33.0912747265625
"85","exhaustive_test","AGB","clusterMedium",35,31.418407182309
"86","exhaustive_test","AGB","clusterMedium",36,31.4506523222385
"87","exhaustive_test","AGB","clusterMedium",37,31.2187141464916
"88","exhaustive_test","AGB","clusterMedium",38,30.9412087311914
"89","exhaustive_test","AGB","clusterMedium",39,31.8878277434473
"90","exhaustive_test","AGB","clusterMedium",40,31.051450786447
"91","exhaustive_test","AGB","clusterMedium",41,31.5109395108242
"92","exhaustive_test","AGB","clusterMedium",42,31.2496626060207
"93","exhaustive_test","AGB","clusterMedium",43,30.6725406251413
"94","exhaustive_test","AGB","clusterMedium",44,33.0894726589666
"95","exhaustive_test","AGB","clusterMedium",45,31.2985510413504
"96","exhaustive_test","AGB","clusterMedium",46,32.1411804645547
"97","exhaustive_test","AGB","clusterMedium",47,32.100016288158
"98","exhaustive_test","AGB","clusterMedium",48,31.1634235926178
"99","exhaustive_test","AGB","clusterMedium",49,31.2840362308221
"100","exhaustive_test","AGB","clusterMedium",50,32.1442074360366
"101","exhaustive_test","AGB","clusterStrong",1,35.7963162367161
"102","exhaustive_test","AGB","clusterStrong",2,32.2540543244309
"103","exhaustive_test","AGB","clusterStrong",3,34.9177417445622
"104","exhaustive_test","AGB","clusterStrong",4,33.8993900615924
"105","exhaustive_test","AGB","clusterStrong",5,35.1522154437012
"106","exhaustive_test","AGB","clusterStrong",6,32.8310149428162
"107","exhaustive_test","AGB","clusterStrong",7,33.566192108041
"108","exhaustive_test","AGB","clusterStrong",8,33.8088809274384
"109","exhaustive_test","AGB","clusterStrong",9,34.1220008542444
"110","exhaustive_test","AGB","clusterStrong",10,35.0251225899636
"111","exhaustive_test","AGB","clusterStrong",11,33.9566823847832
"112","exhaustive_test","AGB","clusterStrong",12,35.3100317022488
"113","exhaustive_test","AGB","clusterStrong",13,31.7408216622982
"114","exhaustive_test","AGB","clusterStrong",14,33.7937919577531
"115","exhaustive_test","AGB","clusterStrong",15,35.9883446807199
"116","exhaustive_test","AGB","clusterStrong",16,32.9172935998088
"117","exhaustive_test","AGB","clusterStrong",17,36.3142537123319
"118","exhaustive_test","AGB","clusterStrong",18,33.560514562111
"119","exhaustive_test","AGB","clusterStrong",19,32.7512494001567
"120","exhaustive_test","AGB","clusterStrong",20,38.3994054633256
"121","exhaustive_test","AGB","clusterStrong",21,34.7686821036219
"122","exhaustive_test","AGB","clusterStrong",22,34.0555566566883
"123","exhaustive_test","AGB","clusterStrong",23,32.3829346942532
"124","exhaustive_test","AGB","clusterStrong",24,33.0231950698956
"125","exhaustive_test","AGB","clusterStrong",25,32.0558958155918
"126","exhaustive_test","AGB","clusterStrong",26,32.5087774682682
"127","exhaustive_test","AGB","clusterStrong",27,33.0811360038465
"128","exhaustive_test","AGB","clusterStrong",28,33.6203691857719
"129","exhaustive_test","AGB","clusterStrong",29,34.0293347342799
"130","exhaustive_test","AGB","clusterStrong",30,33.0765637639158
"131","exhaustive_test","AGB","clusterStrong",31,34.1862177027268
"132","exhaustive_test","AGB","clusterStrong",32,31.854367506932
"133","exhaustive_test","AGB","clusterStrong",33,33.7271690208322
"134","exhaustive_test","AGB","clusterStrong",34,34.4988912472003
"135","exhaustive_test","AGB","clusterStrong",35,33.3448633587942
"136","exhaustive_test","AGB","clusterStrong",36,33.929564649435
"137","exhaustive_test","AGB","clusterStrong",37,33.145582728714
"138","exhaustive_test","AGB","clusterStrong",38,34.4596606751793
"139","exhaustive_test","AGB","clusterStrong",39,33.0151135626421
"140","exhaustive_test","AGB","clusterStrong",40,32.4803214932843
"141","exhaustive_test","AGB","clusterStrong",41,34.4660348185114
"142","exhaustive_test","AGB","clusterStrong",42,33.6310199321526
"143","exhaustive_test","AGB","clusterStrong",43,36.9826974405849
"144","exhaustive_test","AGB","clusterStrong",44,32.0827324506784
"145","exhaustive_test","AGB","clusterStrong",45,34.1048912536114
"146","exhaustive_test","AGB","clusterStrong",46,32.7878894429485
"147","exhaustive_test","AGB","clusterStrong",47,33.7899568107671
"148","exhaustive_test","AGB","clusterStrong",48,32.9683414805687
"149","exhaustive_test","AGB","clusterStrong",49,35.7071472518908
"150","exhaustive_test","AGB","clusterStrong",50,33.3782671445559
"151","exhaustive_test","AGB","regular",1,30.6670858836567
"152","exhaustive_test","AGB","regular",2,31.3911907574375
"153","exhaustive_test","AGB","regular",3,31.5200276742367
"154","exhaustive_test","AGB","regular",4,31.3622547189685
"155","exhaustive_test","AGB","regular",5,31.4458874432013
"156","exhaustive_test","AGB","regular",6,32.2755299337075
"157","exhaustive_test","AGB","regular",7,31.4780869377104
"158","exhaustive_test","AGB","regular",8,32.2371660022575
"159","exhaustive_test","AGB","regular",9,31.5779797850808
"160","exhaustive_test","AGB","regular",10,31.0937890994792
"161","exhaustive_test","AGB","regular",11,31.8421480125414
"162","exhaustive_test","AGB","regular",12,31.8228353914058
"163","exhaustive_test","AGB","regular",13,32.2684905362523
"164","exhaustive_test","AGB","regular",14,31.2701464496992
"165","exhaustive_test","AGB","regular",15,31.2915495964998
"166","exhaustive_test","AGB","regular",16,31.5808809447019
"167","exhaustive_test","AGB","regular",17,31.6638467302742
"168","exhaustive_test","AGB","regular",19,31.4939840964294
"169","exhaustive_test","AGB","regular",20,31.7696593205881
"170","exhaustive_test","AGB","regular",21,31.9009065455585
"171","exhaustive_test","AGB","regular",22,31.206408061882
"172","exhaustive_test","AGB","regular",23,31.4655654867272
